method,uri_length,path_length,query_length,num_query_params,num_slashes,num_dots,num_special_chars,num_digits,num_hex_encoded,sql_keyword_hits,xss_keyword_hits,has_sensitive_path,has_query,label
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
GET,1,1,0,0,1,0,1,0,0,0,0,0,0,0
